fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,16,KERALA,1604,KOZHIKODE,406514,194472.463380282,2,0,0,141,30,19441,71,13,36304,0,3932,3.90904,141.984489,32,35,182828,292137,0,360098,533452,19582,138.075449,58,36,51.21,0,100,NA
2025-2026,April,16,KERALA,1609,IDUKKI,208087,0,0,0,0,399,19,11594,0,0,27147,0,24230,23.14991,185.9803429,0,0,124104,227013,0,213966,366833,11993,162.8304329,0,34,35.73,0.45,0,NA
2025-2026,April,16,KERALA,1610,KOTTAYAM,135844,70757.9461538461,1,0,0,128,38,9374,130,14,18617,0,4143,2.71022,94.69555,68,73,78375,119794,0,210336,294444,9502,91.98533,118,54,36.33,37.97,100,NA
2025-2026,April,16,KERALA,1608,ERNAKULAM,168304,346.282701699156,5,23,0,493,0,11991,99108,18908,29906,565,2768,1.57475,344.76861,16678,17349,98055,151253,0,273887,385075,12484,343.19386,88456,50,52.07,63.56,100,NA
2025-2026,April,16,KERALA,1610,KOTTAYAM,135844,376.568765817971,6,14,0,377,0,9984,144614,20913,18673,4582,4149,2.71022,547.281375,23421,24274,78677,120305,0,210453,294685,10361,544.571155,134443,52,74.89,88.1,100,NA
2025-2026,April,16,KERALA,1611,ALAPPUZHA,411281,511.425120590917,6,94,0,1116,0,21178,213905,35878,43216,1343,1126,3.10636,1097.0702642,32053,33762,171570,273060,0,266479,397974,22294,1093.9639042,195135,32,64.62,77.64,100,NA
2025-2026,April,16,KERALA,1601,KASARGOD,173556,632.574331727279,7,8,1.528,318,0,12531,30302,2507,9540,5389,23729,4.5322,197.742874,3859,4416,99434,153801,0,172759,249087,12849,191.682674,24871,52,43.67,51.08,100,NA
2025-2026,April,16,KERALA,1604,KOZHIKODE,406514,443.5190861712,6,28,0,712,0,19751,98049,11945,36337,1541,3940,3.90904,438.7750688,15695,16815,183137,292698,2,360311,533825,20463,434.8660288,85104,37,38.24,65.41,100,NA
2025-2026,April,16,KERALA,1607,THRISSUR,182903,334.547055973786,6,48,0.63,567,0,14138,141602,45870,46649,1142,2430,8.3568,482.7121222,20886,21945,142798,188717,0,353869,433645,14705,473.7253222,123459,50,41.77,77.28,100,NA
2025-2026,April,16,KERALA,1608,ERNAKULAM,168304,364.740145838234,6,23,0,542,0,12052,119036,23311,29926,689,2768,1.57475,435.74683,18070,18860,98117,151359,0,273947,385177,12594,434.17208,105685,51,49.81,60.92,100,NA
2025-2026,April,16,KERALA,1614,THIRUVANANTHAPURAM,511857,334.714891710685,7,34,0,765,0,23106,279806,37650,56373,3813,7791,3.89502,940.4473699,36661,39441,215599,328721,0,399082,569067,23871,936.5523499,235309,49,71.28,80.31,100,NA
2025-2026,April,16,KERALA,1605,MALAPPURAM,223008,419.925570358217,7,41,0,1605,0,17666,91425,23221,57657,3796,5537,4.74471,388.6616627,12713,14030,134089,218012,0,422715,609502,19271,383.9169527,73054,69,34.74,52.32,100,NA
2025-2026,April,16,KERALA,1605,MALAPPURAM,223008,409.124192762952,7,50,0,1754,0,18008,124443,33264,57710,4677,5547,4.74471,513.8711292,16459,18044,134233,218401,0,426579,614924,19762,509.1264192,99706,68,34.41,55.87,100,NA
2025-2026,April,16,KERALA,1606,PALAKKAD,295847,785.577530092778,7,12,4.928,1037,2,32935,100024,39132,81441,2573,20683,2.36703,793.0610987,12957,13928,200758,289562,0,415000,563009,33972,785.7660687,86766,60,58.21,60.94,100,NA
