fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Aug,36,TELANGANA,3619,Adilabad,2044036,276.10673726828,42,1363,2467.570871756,1627,5,21804,3512762,529343,39532,1836005,110633,414.79965,12581.343067956,83153,148786,110102,234670,471,174422,345445,23431,9698.97254619998,1788838,49,60.58,88.6,100.48,NA
2025-2026,Aug,36,TELANGANA,3623,Nalgonda,3341794,282.849661169704,28,3551,2967.8630314,6118,23,25704,4550207,794249,104967,1223555,103232,714.35931,16552.4674234201,159830,253793,221945,512257,166,381853,810758,31822,12870.2450820201,2853161,39,57.78,80.72,100.05,NA
2025-2026,Aug,36,TELANGANA,3625,Hanumakonda,951497,251.148954211682,21,495,1111.300348047,449,3,6113,790005,197157,32800,29280,3755,291.35055,3386.740193767,37050,53484,58290,124457,24,98697,200610,6562,1984.08929572,519021,25,36.32,86.35,100,NA
2025-2026,Aug,36,TELANGANA,3629,Kamareddy,1945939,247.999077050662,19,1352,1646.53438689,801,9,12184,1143118,223266,61348,230724,41112,421.23856,4902.69503648999,60154,87351,156959,304177,22,257655,491569,12985,2834.92208959999,676994,13,40.65,62.79,100.07,NA
2025-2026,Aug,36,TELANGANA,3632,Mahabubabad,2548386,257.086247484282,25,1360,831.497394547,894,27,15541,2136366,204781,38000,1119440,147706,300.43351,6624.23408647705,83123,137597,138758,311507,77,236410,495137,16435,5492.30318193005,1200318,15,40.71,86.94,100.08,NA
2025-2026,Aug,36,TELANGANA,3644,Yadadri Bhuvanagiri,1338829,276.232544564067,24,1061,1752.748880021,1554,8,13975,1481328,302021,38198,184687,18800,422.92474,6267.583647761,60214,77003,89718,178959,25,157652,292179,15529,4091.91002774,1163663,43,77.81,92.36,100.03,NA
2025-2026,Sep,36,TELANGANA,3615,Vikarabad,3018513,278.806426154166,37,1562,5041.978039726,2689,18,24553,3412481,980768,76372,450273,37562,542.62094,15098.8152990159,91967,153850,128058,277757,230,192441,392151,27242,9514.21631928994,1927393,53,86.5,93.89,100.07,NA
2025-2026,Sep,36,TELANGANA,3631,Kumram Bheem(Asifabad),1818965,241.626022682697,35,812,790.246161715,1852,2,12474,2179635,361210,30976,780827,69156,332.71991,6389.53143121499,61728,105665,89372,188229,144,123111,244397,14326,5266.56535949999,1169049,30,36.53,72.07,100.08,NA
2025-2026,Sep,36,TELANGANA,3638,Sangareddy,2597562,256.900562880546,24,818,2213.939216746,2782,24,14055,1722035,600632,79541,240751,33594,552.06645,7189.92327474602,69631,102381,125387,251902,33,229325,420650,16837,4423.91760800002,1059466,11,35.82,79.56,100.14,NA
2025-2026,Sep,36,TELANGANA,3640,Siddipet,2250292,268.343999500833,33,1007,3337.183460253,4454,24,21519,2758599,602473,62850,130107,10099,525.38724,11265.105587043,81255,119868,124092,266907,199,205969,412274,25973,7402.53488678998,1823050,65,63.76,80.62,100.04,NA
